NAME;abbreviation;y2004;repEleCol2004;demEleCol2004;demVotes2004;repVotes2004;totVote2004;y2008;repEleCol2008;demEleCol2008;demVotes2008;repVote2008;totVote2008;y2012;repEleCol2012;demEleCol2012;demVotes2012;repVotes2012;totVote2012;y2016;repEleCol2016;demEleCol2016;demVotes2016;repVotes2016;totVote2016;y2020;repEleCol2020;demEleCol2020;demVotes2020;repVotes2020;totVote2020;y2024;demEleCol2024;repEleCol2024;demVotes2024;repVotes2024;totVote2024
ALABAMA;AL;Republican;9;0;693933;1176394;1883415;Republican;9;0;813479;1266546;2099819;Republican;9;0;795696;1255925;2074338;Republican;9;0;729547;1318255;2123372;Republican;9;0;849624;1441170;2323282;Republican;0;9;772412;1462616;2265090
ALASKA;AK;Republican;3;0;111025;190889;312598;Republican;3;0;123594;193841;326197;Republican;3;0;122640;164676;300495;Republican;3;0;116454;163387;318608;Republican;3;0;153778;189951;359530;Republican;0;3;140026;184458;338177
ARIZONA;AZ;Republican;10;0;893524;1104294;2012585;Republican;10;0;1034707;1230111;2293475;Republican;11;0;1025232;1233654;2299254;Republican;11;0;1161209;1252401;2573165;Democrat;0;11;1672143;1661686;3387326;Republican;0;11;1582860;1770242;3400726
ARKANSAS;AR;Republican;6;0;469953;572898;1054945;Republican;6;0;422310;638017;1086617;Republican;6;0;394409;647744;1069468;Republican;6;0;380494;684872;1130635;Republican;6;0;423932;760647;1219069;Republican;0;6;396905;759241;1182676
CALIFORNIA;CA;Democrat;0;55;6745485;5509826;12421353;Democrat;0;55;8274473;5011781;13561900;Democrat;0;55;7854285;4839958;13038547;Democrat;0;55;8753788;4483810;14181595;Democrat;0;55;11110250;6006429;17500881;Democrat;54;0;9276179;6081697;15862536
COLORADO;CO;Republican;9;0;1001732;1101255;2129630;Democrat;0;9;1288576;1073589;2401361;Democrat;0;9;1323101;1185243;2569516;Democrat;0;9;1338870;1202484;2780220;Democrat;0;9;1804352;1364607;3279980;Democrat;10;0;1728159;1377441;3192745
CONNECTICUT;CT;Democrat;0;7;857488;693826;1578769;Democrat;0;7;997772;629428;1646792;Democrat;0;7;905083;634892;1558204;Democrat;0;7;897572;673215;1644920;Democrat;0;7;1080831;714717;1823857;Democrat;7;0;992053;736918;1759010
DELAWARE;DE;Democrat;0;3;200152;171660;375190;Democrat;0;3;255459;152374;412412;Democrat;0;3;242584;165484;413890;Democrat;0;3;235603;185127;441590;Democrat;0;3;296268;200603;504346;Democrat;3;0;289758;214351;512912
DISTRICT OF COLUMBIA;DC;Democrat;0;3;202970;21256;227586;Democrat;0;3;245800;17367;265853;Democrat;0;3;267070;21381;293764;Democrat;0;3;282830;12723;312575;Democrat;0;3;317323;18586;344356;Democrat;3;0;294185;21076;325869
FLORIDA;FL;Republican;27;0;3583544;3964522;7609810;Democrat;0;27;4282074;4045624;8390744;Democrat;0;29;4237756;4163447;8474179;Republican;29;0;4504975;4617886;9420039;Republican;29;0;5297045;5668731;11067456;Republican;0;30;4683038;6110125;10935465
GEORGIA;GA;Republican;15;0;1366149;1914254;3301875;Republican;15;0;1844123;2048759;3924486;Republican;16;0;1773827;2078688;3897839;Republican;16;0;1877963;2089104;4114732;Democrat;0;16;2473633;2461854;4999960;Republican;0;16;2548017;2663117;5268481
HAWAII;HI;Democrat;0;4;231708;194191;429013;Democrat;0;4;325871;120566;456064;Democrat;0;4;306658;121015;437159;Democrat;0;3;266891;128847;437664;Democrat;0;4;366130;196864;579784;Democrat;4;0;313044;193661;516701
IDAHO;ID;Republican;4;0;181098;409235;598376;Republican;4;0;236440;403012;655122;Republican;4;0;212787;420911;652274;Republican;4;0;189765;409055;690255;Republican;4;0;287021;554119;868014;Republican;0;4;274972;605246;905053
ILLINOIS;IL;Democrat;0;21;2891550;2345946;5274322;Democrat;0;21;3419348;2031179;5522371;Democrat;0;20;3019512;2135216;5242014;Democrat;0;20;3090729;2146015;5536424;Democrat;0;20;3471915;2446891;6033743;Democrat;19;0;3062863;2449079;5640313
INDIANA;IN;Republican;11;0;969011;1479438;2468002;Democrat;0;11;1374039;1345648;2751054;Republican;11;0;1152887;1420543;2624534;Republican;11;0;1033126;1557286;2734958;Republican;11;0;1242416;1729519;3033118;Republican;0;11;1163603;1720347;2944334
IOWA;IA;Republican;7;0;741898;751957;1506908;Democrat;0;7;828940;682379;1537123;Democrat;0;6;822544;730617;1582180;Republican;6;0;653669;800983;1565580;Republican;6;0;759061;897672;1700130;Republican;0;6;707278;927019;1663506
KANSAS;KS;Republican;6;0;434993;736456;1187756;Republican;6;0;514765;699655;1235872;Republican;6;0;440726;692634;1159971;Republican;6;0;427005;671018;1184402;Republican;6;0;570323;771406;1372303;Republican;0;6;544853;758802;1335098
KENTUCKY;KY;Republican;8;0;712733;1069439;1795882;Republican;8;0;751985;1048462;1826620;Republican;8;0;679370;1087190;1797212;Republican;8;0;628854;1202971;1924149;Republican;8;0;772474;1326646;2136768;Republican;0;8;700921;1336230;2070079
LOUISIANA;LA;Republican;9;0;820299;1102169;1943106;Republican;9;0;782989;1148275;1960761;Republican;8;0;809141;1152262;1994065;Republican;8;0;780154;1178638;2029032;Republican;8;0;856034;1255776;2148062;Republican;0;8;76687;1208505;2006975
MAINE;ME;Democrat;0;4;396842;330201;740752;Democrat;0;4;421923;295273;731163;Democrat;0;4;401306;292276;724758;Democrat;1;3;357735;335593;771892;Democrat;1;3;435072;360737;828305;Democrat;3;1;435351;377837;830989
MARYLAND;MD;Democrat;0;10;1334493;1024703;2384238;Democrat;0;10;1629467;959862;2631596;Democrat;0;10;1677844;971869;2707327;Democrat;0;10;1678006;943428;2781446;Democrat;0;10;1985023;976414;3037030;Democrat;10;0;1902577;1035550;3038334
MASSACHUSETTS;MA;Democrat;0;12;1803800;1071109;2927455;Democrat;0;12;1904097;1108854;3102995;Democrat;0;11;1921290;1188314;3184196;Democrat;0;11;1995196;1090893;3378821;Democrat;0;11;2382202;1167202;3658005;Democrat;11;0;2126545;1251308;3473653
MICHIGAN;MI;Democrat;0;17;2479183;2313746;4839252;Democrat;0;17;2872579;2048639;5001596;Democrat;0;16;2564569;2115256;4730961;Republican;16;0;2268839;2279543;4799284;Democrat;0;16;2804040;2649852;5539302;Republican;0;15;2736533;2816636;5674485
MINNESOTA;MN;Democrat;0;9;1445014;1346695;2828387;Democrat;0;10;1573354;1275409;2910369;Democrat;0;10;1546167;1320225;2936561;Democrat;0;10;1367705;1322949;2944782;Democrat;0;10;1717077;1484065;3277171;Democrat;10;0;1656979;1519032;3253920
MISSISSIPPI;MS;Republican;6;0;457766;672660;1139824;Republican;6;0;554662;724597;1289865;Republican;6;0;562949;710746;1285584;Republican;6;0;485131;700714;1209357;Republican;6;0;539398;756764;1313759;Republican;0;6;466668;747744;1229255
MISSOURI;MO;Republican;11;0;1259171;1455713;2731364;Republican;11;0;1441911;1445814;2925205;Republican;10;0;1223796;1482440;2757323;Republican;10;0;1071068;1594511;2808605;Republican;10;0;1253014;1718736;3025962;Republican;0;10;1200599;1751986;3003671
MONTANA;MT;Republican;3;0;173710;266063;450434;Republican;3;0;231667;242763;490109;Republican;3;0;201839;267928;484048;Republican;3;0;177709;279240;494526;Republican;3;0;244786;343602;603674;Republican;0;4;231906;352079;602984
NEBRASKA;NE;Republican;5;0;254328;512814;778186;Republican;4;1;333319;452979;801281;Republican;5;0;302081;475064;794379;Republican;5;0;284494;495961;844227;Republican;4;1;374583;556846;956383;Republican;1;4;369995;564816;952182
NEVADA;NV;Republican;5;0;397190;418690;829587;Democrat;0;5;533736;412827;967848;Democrat;0;6;531373;463567;1014918;Democrat;0;6;539260;512058;1125385;Democrat;0;6;703486;669890;1405376;Republican;0;6;705197;751205;1484840
NEW HAMPSHIRE;NH;Democrat;0;4;340511;331237;678287;Democrat;0;4;384826;316534;710970;Democrat;0;4;369561;329918;710972;Democrat;0;4;348526;345790;744296;Democrat;0;4;424921;365654;806182;Democrat;4;0;418488;395523;826189
NEW JERSEY;NJ;Democrat;0;15;1911430;1670003;3611691;Democrat;0;15;2215422;1613207;3868237;Democrat;0;14;2122786;1478088;3638499;Democrat;0;14;2148278;1601933;3874046;Democrat;0;14;2608335;1883274;4549353;Democrat;14;0;2220713;1968215;4287740
NEW MEXICO;NM;Republican;5;0;370942;376930;756304;Democrat;0;5;472422;346832;830158;Democrat;0;5;415335;335788;783758;Democrat;0;5;385234;319667;798319;Democrat;0;5;501614;401894;923965;Democrat;5;0;478802;423391;923403
NEW YORK;NY;Democrat;0;31;4314280;2806993;7448266;Democrat;0;31;4645332;2418323;7722019;Democrat;0;29;4324228;2223397;7116784;Democrat;0;29;4379789;2527142;7802084;Democrat;0;29;5230985;3244798;8661735;Democrat;28;0;4606688;3569346;8287383
NORTH CAROLINA;NC;Republican;15;0;1525849;1961166;3501007;Democrat;0;15;2142651;2128474;4310851;Republican;15;0;2178391;2270395;4505372;Republican;15;0;2189316;2362631;4741564;Republican;15;0;2684292;2758773;5524802;Republican;0;16;2715375;2898423;5699141
NORTH DAKOTA;ND;Republican;3;0;111052;196651;312833;Republican;3;0;141278;168601;316621;Republican;3;0;124966;188320;322932;Republican;3;0;93758;216794;344360;Republican;3;0;114902;235595;361819;Republican;0;3;112327;246505;368155
OHIO;OH;Republican;20;0;2741165;2859764;5627903;Democrat;0;20;2940044;2677820;5708350;Democrat;0;18;2827621;2661407;5580822;Republican;18;0;2394164;2841005;5496487;Republican;18;0;2679165;3154834;5922202;Republican;0;17;2533699;3180116;5795116
OKLAHOMA;OK;Republican;7;0;503966;959792;1463758;Republican;7;0;502496;960165;1462661;Republican;7;0;443547;891325;1334872;Republican;7;0;420375;949136;1452992;Republican;7;0;503890;1020280;1560699;Republican;0;7;499599;1036213;1566173
OREGON;OR;Democrat;0;7;943163;866831;1836782;Democrat;0;7;1037291;738475;1827864;Democrat;0;7;970488;754175;1789270;Democrat;0;7;1002106;782403;2001336;Democrat;0;7;1340383;958448;2374321;Democrat;8;0;1240600;91948;2244493
PENNSYLVANIA;PA;Democrat;0;21;2938095;2793847;5769590;Democrat;0;21;3276363;2655885;6013272;Democrat;0;20;2990274;2680434;5742040;Republican;20;0;2926441;2970733;6115402;Democrat;0;20;3458229;3377674;6915283;Republican;0;19;3423042;3543308;7058269
RHODE ISLAND;RI;Democrat;0;4;259760;169046;437134;Democrat;0;4;296571;165391;471766;Democrat;0;4;279677;157204;446049;Democrat;0;4;252525;180543;464144;Democrat;0;4;307486;199922;516990;Democrat;4;0;285156;214406;513386
SOUTH CAROLINA;SC;Republican;8;0;661669;937974;1617700;Republican;8;0;862449;1034896;1920969;Republican;9;0;865941;1071645;1964118;Republican;9;0;855373;1155389;2103027;Republican;9;0;1091541;1385103;2514096;Republican;0;9;1028452;1483747;2548140
SOUTH DAKOTA;SD;Republican;3;0;149244;232584;388215;Republican;3;0;170924;203054;381975;Republican;3;0;145039;210610;363815;Republican;3;0;117458;227721;370093;Republican;3;0;150471;261043;422609;Republican;0;3;146859;272081;428922
TENNESSEE;TN;Republican;11;0;1036477;1384375;2437319;Republican;11;0;1087437;1479178;2599749;Republican;11;0;960709;1462330;2458577;Republican;11;0;870695;1522925;2508027;Republican;11;0;1143711;1852475;3053851;Republican;0;11;1056265;1966865;3063942
TEXAS;TX;Republican;34;0;2832704;4526917;7410749;Republican;34;0;3528633;4479328;8077795;Republican;38;0;3308124;4569843;7993851;Republican;36;0;3877868;4685047;8969226;Republican;38;0;5259126;5890347;11315056;Republican;0;40;4835250;6393597;11406179
UTAH;UT;Republican;5;0;241199;663742;927844;Republican;5;0;327670;596030;952370;Republican;6;0;251813;740600;1017440;Republican;6;0;310674;515211;1131317;Republican;6;0;560282;865140;1488289;Republican;0;6;562566;883818;1513398
VERMONT;VT;Democrat;0;3;184067;121180;312309;Democrat;0;3;219262;98974;325046;Democrat;0;3;199239;92698;299290;Democrat;0;3;178573;95369;320467;Democrat;0;3;242820;112704;370968;Democrat;3;0;235791;119395;369422
VIRGINIA;VA;Republican;13;0;1454742;1716959;3195415;Democrat;0;13;1959532;1725005;3723260;Democrat;0;13;1971820;1822522;3854489;Democrat;0;13;1981473;1769443;3982752;Democrat;0;13;2413568;1962430;4460524;Democrat;13;0;2335395;2075085;4505941
WASHINGTON;WA;Democrat;0;11;1510201;1304894;2859084;Democrat;0;11;1750848;1229216;3036878;Democrat;0;12;1755396;1290670;3125516;Democrat;0;8;1742718;1221747;3317019;Democrat;0;12;2369612;1584651;4087631;Democrat;12;0;2245849;1530923;3924243
WEST VIRGINIA;WV;Republican;5;0;326541;423778;755792;Republican;5;0;303857;397466;713451;Republican;5;0;238269;417655;670438;Republican;5;0;188794;489371;713051;Republican;5;0;235984;545382;794652;Republican;0;4;214309;533556;763679
WISCONSIN;WI;Democrat;0;10;1489504;1478120;2997007;Democrat;0;10;1677211;1262393;2983417;Democrat;0;10;1620985;1410966;3071434;Republican;10;0;1382536;1405284;2976150;Democrat;0;10;1630866;1610184;3298041;Republican;0;10;1668229;1697626;3422918
WYOMING;WY;Republican;3;0;70776;167629;243861;Republican;3;0;82868;164958;254904;Republican;3;0;69286;170962;250701;Republican;3;0;55973;174419;258788;Republican;3;0;73491;193559;278503;Republican;0;3;69527;192633;269048
